TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
22.8,31.6,27.6,80.0,0.0,7.5,2,260.0,1,S 
22.6,32.0,26.1,84.0,0.0,1.4,2,20.0,2,S 
23.2,31.4,25.9,86.0,0.0,7.6,4,200.0,2,S 
23.2,31.2,26.7,87.0,0.0,4.6,4,240.0,2,S 
23.4,32.4,26.5,86.0,0.0,4.5,2,240.0,1,C 
23.4,32.2,26.7,86.0,6.713162705667276,7.0,3,210.0,2,SW
23.6,31.6,26.5,86.0,0.0,6.9,4,210.0,1,SW
22.0,32.2,25.9,84.0,0.0,5.5,2,240.0,1,C 
22.1,31.6,25.5,88.0,0.0,9.5,2,90.0,1,SW
21.8,31.2,25.2,86.0,0.0,8.7,2,260.0,1,C 
22.4,30.6,25.6,87.0,0.0,10.2,3,190.0,2,S 
21.8,30.0,25.1,88.0,0.0,7.9,4,180.0,2,S 
22.0,30.4,25.6,87.0,6.713162705667276,6.8,4,190.0,2,S 
23.8,29.0,25.3,91.0,0.6,4.0,4,170.0,2,C 
24.0,30.4,25.9,90.0,0.5,1.4,2,250.0,1,C 
23.6,31.8,26.4,86.0,0.0,4.7,3,180.0,1,S 
23.6,31.4,26.3,85.0,0.0,7.3,3,200.0,1,S 
23.4,29.6,25.7,87.0,0.0,6.0,1,190.0,0,C 
22.8,28.8,24.4,90.0,0.0,1.2,3,210.0,1,SW
23.2,29.6,25.4,86.0,6.713162705667276,4.4,3,210.0,1,SW
23.2,27.8,24.7,94.0,6.713162705667276,3.9,3,240.0,1,SW
23.3,29.5,25.3,90.0,5.5,1.2,3,180.0,2,S 
23.4,27.6,24.3,94.0,6.713162705667276,2.8,3,90.0,1,C 
23.2,29.8,25.5,93.0,1.0,0.3,2,320.0,0,C 
23.0,31.8,26.1,90.0,15.0,1.9,4,200.0,1,C 
23.2,31.2,26.4,88.0,0.0,7.8,3,180.0,2,S 
21.4,32.0,25.4,82.0,0.0,8.8,3,240.0,1,SW
19.7,30.3,24.1,80.0,0.0,9.8,3,180.0,2,S 
20.0,28.0,25.1,88.0,0.0,9.5,2,200.0,1,S 
22.8,29.0,25.2,86.0,0.0,0.1,3,180.0,2,S 
23.4,30.4,25.6,85.0,0.0,1.4,3,220.0,2,SW
22.8,30.0,25.1,86.0,0.0,5.8,3,230.0,2,SW
20.4,30.4,24.4,82.0,0.0,4.7,4,180.0,2,S 
19.8,31.2,24.2,84.0,0.0,9.6,2,220.0,1,SW
20.3,32.0,25.6,76.0,0.0,9.2,4,180.0,3,S 
19.6,31.0,24.3,78.0,0.0,10.2,3,140.0,2,S 
21.2,30.4,24.8,81.0,0.0,9.6,4,200.0,2,S 
20.4,30.6,24.3,85.0,0.0,9.5,2,240.0,1,SW
21.4,31.6,25.8,80.0,0.0,9.6,3,240.0,1,C 
21.0,29.3,24.1,87.0,0.0,8.2,3,180.0,2,S 
20.5,30.8,24.8,84.0,0.0,6.5,2,210.0,1,SW
20.6,31.8,24.7,79.0,6.713162705667276,9.1,2,170.0,1,S 
18.8,29.8,23.0,81.0,0.0,9.4,3,200.0,2,S 
19.2,31.4,23.7,80.0,0.0,8.8,4,200.0,2,S 
20.2,30.4,24.2,79.0,0.0,9.6,4,180.0,2,S 
19.2,31.8,23.8,78.0,0.0,9.5,4,190.0,2,S 
22.0,30.8,25.5,81.0,0.0,9.7,2,250.0,1,S 
21.2,31.6,25.2,86.0,0.0,8.6,3,190.0,1,W 
22.4,31.2,25.5,87.0,0.0,8.6,3,260.0,2,S 
22.8,30.0,25.8,86.0,0.0,6.2,3,260.0,1,W 
21.8,31.0,25.5,82.0,0.0,5.7,3,200.0,1,S 
20.0,31.2,24.6,84.0,0.0,5.3,3,260.0,2,S 
23.0,29.6,25.5,86.0,0.0,8.2,4,250.0,2,S 
22.4,32.4,26.1,82.0,0.0,3.8,2,240.0,1,S 
20.4,31.8,24.9,82.0,0.0,8.4,3,260.0,1,W 
20.1,32.6,25.0,84.0,0.0,9.0,3,250.0,2,W 
20.3,31.6,24.4,82.0,0.0,9.4,4,260.0,2,W 
19.2,30.4,23.9,82.0,0.0,9.1,3,100.0,2,S 
19.8,30.3,23.9,85.0,0.0,9.9,6,240.0,2,SW
19.6,30.6,23.8,84.0,0.0,10.1,5,260.0,2,W 
20.2,32.2,24.9,80.0,0.0,9.9,4,100.0,2,S 
20.2,31.6,24.7,82.0,0.0,9.7,2,200.0,1,S 
20.4,32.4,25.3,79.0,0.0,8.8,3,210.0,2,S 
20.5,26.2,22.9,89.0,0.0,9.7,3,180.0,2,S 
21.0,29.6,24.4,83.0,0.6,0.1,3,170.0,1,S 
22.1,31.2,25.2,82.0,0.0,9.0,3,180.0,2,S 
21.0,31.0,25.1,83.0,0.0,8.2,3,180.0,2,S 
21.1,31.4,25.3,83.0,0.0,8.7,4,180.0,2,S 
22.0,31.4,25.3,81.0,0.0,8.5,3,170.0,1,S 
22.4,30.2,25.2,80.0,0.0,6.5,4,160.0,2,S 
20.2,32.0,24.8,83.0,0.0,8.5,3,260.0,1,W 
21.0,30.6,24.7,85.0,0.0,9.2,3,260.0,2,W 
21.4,30.4,24.7,85.0,0.0,8.9,2,250.0,1,S 
21.8,30.6,25.0,84.0,6.713162705667276,6.8,4,180.0,2,SW
20.2,31.6,24.8,82.0,0.0,8.4,2,200.0,1,S 
20.2,31.8,24.9,83.0,0.0,8.6,2,250.0,1,W 
19.9,31.4,24.5,84.0,0.0,8.1,2,180.0,1,W 
21.2,30.2,24.1,90.0,0.0,8.8,2,240.0,1,SW
21.2,30.2,24.9,83.0,0.0,4.6,4,230.0,2,S 
18.5,30.4,23.6,80.0,0.0,8.5,4,200.0,2,SW
20.0,30.4,23.9,78.0,0.0,8.5,5,210.0,2,SW
21.0,31.5,25.4,73.0,0.0,8.4,4,180.0,2,S 
18.2,31.4,23.9,76.0,0.0,9.0,3,90.0,1,S 
19.8,31.4,25.4,81.0,0.0,8.5,4,180.0,2,S 
22.2,31.4,25.6,81.0,0.0,5.5,3,190.0,1,S 
21.2,31.6,25.6,80.0,0.0,8.2,4,180.0,2,S 
19.8,31.4,24.3,82.0,0.0,8.6,3,260.0,2,W 
